STREET_NO,STREET_NAME,ZIP_CODE,NO_ROOMS,NO_BEDROOMS,NO_FULL_BATHS,NO_HALF_BATHS,SQUARE_FEET,SALE_PRICE,LIST_PRICE,ORIG_PRICE,MARKET_TIME_PROPERTY,GARAGE_SPACES_RN,ELEVATOR_RN,PARKING_SPACES_RN,Avg Rent
24,Concord Ave,2138,3,1,1,0,750,2300,2300,2300,27,,,0,
24,Concord Ave,2138,3,1,1,0,750,2300,2300,2300,27,,,0,
68,Richdale Avenue,2140,4,1,1,1,650,2400,2400,2600,49,,,1,
10,Dana St,2138,3,1,1,0,400,1850,1850,2300,69,0,N,0,
14,Chauncy St,2138,5,1,1,0,1120,3600,3600,3600,41,1,N,0,
393,Broadway,2139,3,1,1,0,600,2350,2350,2400,49,,Y,0,
13,Glenwood Ave.,2139,3,1,1,0,800,1900,1900,1900,16,,N,0,
1716,Cambridge Street,2138,4,1,1,0,707,2500,2500,2500,47,0,Y,1,
29,Concord Ave,2138,2,1,1,0,495,2200,2200,2500,54,,Y,0,
47,Inman Street,2139,3,1,1,0,650,2050,2050,2100,32,,,0,
1,Earhart Street,2141,4,1,1,1,1026,3200,3200,3200,37,1,Y,1,
150,Cambridge Street,2141,3,1,1,0,758,2600,2600,2600,39,1,Y,1,
1578,Massachusetts,2138,3,1,1,0,610,2395,2395,2395,53,,,0,
150,Cambridge Street,2141,3,1,1,0,748,2900,2900,2900,52,1,Y,1,
58,Kirkland St,2138,3,1,1,0,840,3400,3400,3400,57,0,N,0,
1,Richdale Ave,2140,2,1,1,0,550,1700,1700,1850,26,,N,0,
10,Rogers,2142,3,1,1,0,863,3300,3300,3300,52,1,Y,1,
19,Pleasant St,2139,2,1,1,0,485,2200,2200,2200,61,,,0,
68,Richdale Avenue,2140,4,1,1,0,700,2400,2400,2600,49,,N,1,
44,Concord Avenue,2138,3,1,1,0,690,2800,2750,2750,61,,,1,
329,Harvard,2139,3,1,1,0,592,2425,2475,2700,63,0,Y,1,"$2,474"
35,Homer Ave,2138,2,1,1,0,559,1675,1675,1675,27,,,1,
36,Linnaean Street,2138,2,1,1,0,850,2350,2400,2450,23,,,0,
863,Massachusetts Ave,2139,3,1,1,0,750,2600,2600,2600,45,,Y,1,
7 1/2,Centre Street,2139,4,1,1,0,945,2650,2650,2650,34,0,N,1,
309,Huron Ave,2138,5,1,1,0,1400,2600,2600,2600,17,,N,0,
548,Green Street,2139,4,1,2,0,1420,2850,3000,3000,18,,N,0,"$2,719"
19,Pleasant St,2139,2,1,1,0,398,2125,2125,2175,93,,,0,
1075,Massachusetts Ave,2138,3,1,1,0,840,3990,3990,3990,93,1,Y,1,
2,Earhart St.,2141,3,1,1,1,1009,3500,3500,3600,51,1,Y,1,
30,Upland Road,2140,3,1,1,0,650,2550,2550,2575,65,,N,0,
24,Concord Ave,2138,3,1,1,0,750,2300,2300,2300,41,,,0,
87,New Street,2138,2,1,1,0,787,2675,2600,2650,43,1,Y,1,
1,Earhart Street,2141,3,1,1,1,752,3000,2900,2900,72,0,Y,1,
99,Hancock Street,2139,3,1,1,0,500,2500,2500,2350,111,,N,0,
27,Linnaean Street,2138,4,1,1,0,1039,2300,2300,2500,29,,N,0,
284,Harvard,2139,3,1,1,0,613,2200,2200,2400,61,,Y,0,
50,Follen St,2138,3,1,1,0,800,2500,2500,2700,49,0,Y,0,
1,Earhart Street,2141,1,1,1,1,807,2700,2700,2800,36,0,Y,1,
33,Rogers St.,2142,3,1,1,0,541,2941,2950,3145,141,1,Y,1,
2,Earhart Street,2141,3,1,1,0,839,2800,2800,2800,61,0,Y,1,
24,Concord Ave,2138,3,1,1,0,750,2300,2300,2300,54,,Y,0,
30,Langdon Street,2138,3,1,1,0,600,2200,2200,2250,75,,N,0,
31,Concord Ave,2138,4,1,1,0,744,2600,2600,2900,79,,,0,
603,Concord Ave,2138,2,1,1,0,787,3000,2975,2975,69,1,Y,1,
80,Chestnut,1239,4,1,1,0,793,2295,2295,2575,59,,N,0,
29,Concord Ave,2138,3,1,1,0,495,2100,2100,2400,99,,Y,0,
31,Wheeler St,2138,4,1,1,0,750,2400,2450,2500,70,1,N,1,
72,Walker St,2138,3,1,1,0,576,1900,1900,2000,67,,,0,
603,Concord Ave,2138,2,1,1,0,560,2750,2750,2750,111,1,Y,1,
863,Mass Ave,2139,4,1,1,0,540,2400,2400,2500,136,,Y,0,
720,Cambridge St.,2141,5,1,1,0,800,1900,1900,1900,60,,N,0,
454,Green,2139,5,1,1,0,1200,2400,2200,2200,48,0,,0,
117,Pleasant St,2139,2,1,1,0,443,2000,2000,2100,113,,,0,
2,Chestnut Street,2109,3,1,1,0,822,2650,2650,2700,82,1,N,1,
117,Pleasant St,2139,2,1,1,0,439,2000,1950,2100,121,,,0,
603,Concord Ave,2138,2,1,1,0,840,3150,3150,3150,98,1,Y,1,
262,Monsignor Obrien Hwy,2141,2,1,1,0,743,3000,3000,3200,113,0,Y,0,
147,Sherman St,2140,4,1,1,1,1300,2500,2500,2800,59,,N,1,
603,1,2138,2,1,1,0,770,3150,3150,3150,119,1,Y,1,
4,Rutland St.,2143,5,1,1,0,1400,2700,2800,2950,63,,N,0,
262,Monsignor O’Brien Highway,2141,3,1,1,0,742,2800,2800,3000,124,1,Y,1,
2,Earhart St,2141,4,1,1,1,948,3100,3100,3500,116,0,Y,1,
603,Concord Ave,2138,1,1,1,0,650,2850,2850,2850,119,1,Y,1,
603,Concord Ave,2138,2,1,1,0,840,3150,3150,3100,128,1,Y,1,
9,Ellery St,2138,4,1,1,0,605,2250,2250,2600,157,0,N,0,
6,Eighth St,2141,3,1,1,0,972,2300,2300,2300,88,0,N,0,"$3,099"
